date, value
01-01-2016,0.7303
04-01-2016,0.7191
05-01-2016,0.7161
06-01-2016,0.7072
07-01-2016,0.7012
08-01-2016,0.6953
11-01-2016,0.6995
12-01-2016,0.6986
13-01-2016,0.6955
14-01-2016,0.6985
15-01-2016,0.6864
18-01-2016,0.6866
19-01-2016,0.6909
20-01-2016,0.6908
21-01-2016,0.6999
22-01-2016,0.7002
25-01-2016,0.6955
26-01-2016,0.7005
27-01-2016,0.7027
28-01-2016,0.7084
29-01-2016,0.7084
01-02-2016,0.7114
02-02-2016,0.7039
03-02-2016,0.7169
04-02-2016,0.7201
05-02-2016,0.7067
08-02-2016,0.7087
09-02-2016,0.707
10-02-2016,0.7095
11-02-2016,0.7109
12-02-2016,0.7112
15-02-2016,0.7139
16-02-2016,0.7111
17-02-2016,0.7185
18-02-2016,0.7157
19-02-2016,0.7148
22-02-2016,0.7227
23-02-2016,0.7202
24-02-2016,0.7196
25-02-2016,0.7236
26-02-2016,0.7126
29-02-2016,0.7141
01-03-2016,0.7175
02-03-2016,0.7295
03-03-2016,0.7352
04-03-2016,0.7439
07-03-2016,0.7469
08-03-2016,0.7439
09-03-2016,0.7486
10-03-2016,0.7454
11-03-2016,0.7565
14-03-2016,0.7515
15-03-2016,0.7457
16-03-2016,0.7553
17-03-2016,0.7649
18-03-2016,0.7608
21-03-2016,0.7578
22-03-2016,0.7622
23-03-2016,0.7532
24-03-2016,0.7528
25-03-2016,0.7507
28-03-2016,0.7545
29-03-2016,0.7627
30-03-2016,0.7671
31-03-2016,0.7657
01-04-2016,0.7677
04-04-2016,0.7605
05-04-2016,0.7543
06-04-2016,0.7599
07-04-2016,0.7505
08-04-2016,0.7556
11-04-2016,0.7595
12-04-2016,0.7684
13-04-2016,0.7653
14-04-2016,0.7695
15-04-2016,0.7725
18-04-2016,0.775
19-04-2016,0.7813
20-04-2016,0.7794
21-04-2016,0.7738
22-04-2016,0.7708
25-04-2016,0.7715
26-04-2016,0.7749
27-04-2016,0.7591
28-04-2016,0.7625
29-04-2016,0.7603
02-05-2016,0.7667
03-05-2016,0.7485
04-05-2016,0.7457
05-05-2016,0.7465
06-05-2016,0.7366
09-05-2016,0.7316
10-05-2016,0.7363
11-05-2016,0.7375
12-05-2016,0.7325
13-05-2016,0.7271
16-05-2016,0.7289
17-05-2016,0.7325
18-05-2016,0.7229
